"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 05 23:37:26 +0000 2023","1732182420231962758","🙇🏼‍♀🙇🏼‍♀😣  Marapi utara banjir hujan Jakarta u17 bcl raffi pdip megawati kiki chindo RS boikot gempa rohingya hamas gemoy jokowi prabowo palestin anies ganjar Gibran israel Gaza https://t.co/uI5OCZbTsT","0","0","1","2","in","1317084070468177920","1732182420231962758","NurilHiLma2022","https://twitter.com/NurilHiLma2022/status/1732182420231962758","https://pbs.twimg.com/media/GAnyuR0boAAxzhF.jpg","","526"
"Tue Dec 05 12:35:07 +0000 2023","1732015744085582023","@jansen_jsp Kita garis bawahi paragraf 3 bagian akhir  hak nya di pemilu berikutnya tetep ada. Ini menunjukkan setelah putus koalisi dg Anies hanya sekedar cari cantolan  padahal ideologis sebenarnya bersama koalisi KPP  dan saya yakin seluruh kader Demokrat hatinya brontak salam mas AHY","0","2","0","6","in","1688509255111049216","1731886678946767223","arema7055","https://twitter.com/arema7055/status/1732015744085582023","","","45"
"Tue Dec 05 15:15:08 +0000 2023","1732056016253231145","kempen-kempen pak anies ni sepanjang pemerhatian aku  aku boleh rumuskan;   telus. berani. yakin.","0","2","3","5","in","2237931078","1732056016253231145","sangpanitera","https://twitter.com/sangpanitera/status/1732056016253231145","","Malaysia","1113"
"Tue Dec 05 16:09:36 +0000 2023","1732069722613780982","@drReUtari08 @gibran_tweet Imin nonton konser Coldplay  pendukung Anies demo menolak konser Coldplay diluar 😄😄","0","1","0","4","in","1444206305057538052","1732066541653676272","NoviBudi78","https://twitter.com/NoviBudi78/status/1732069722613780982","","Jakarta 🇮🇩🇮🇩","855"
"Tue Dec 05 23:42:22 +0000 2023","1732183662157082722","@Ndons_Back Bisa jadi karena belum disentuh nilai "keadilan" P Anies. Kalau manajemen P Ignasius Jonan berkolaborasi dengan konsep keadilan P Anies kan mantapp","0","2","1","5","in","2754355496","1732180020859396338","Rieff0405","https://twitter.com/Rieff0405/status/1732183662157082722","","","34"
"Tue Dec 05 20:24:46 +0000 2023","1732133936829214819","anies public speakingnya bagus bgt yaa  ngasih statement ngga objektif aja tp diplomatis. tp yg bikin skeptis  orang kalo pinter ngomong biasanya lack action. gatel pas dia ngomongin anggaran  ya berkaca aja sm kasus monumen bambu jkt  yg menurut gue itu bukan hal yg sulit buat","0","1","2","2","in","1131967883787980800","1732133936829214819","holaakei","https://twitter.com/holaakei/status/1732133936829214819","","","379"
"Tue Dec 05 14:28:20 +0000 2023","1732044237351620922","@AiraNtieReal usia prabowo + Usia gibran 36 72 + 36 = 108 : 2 = 54 tahun  usia anies 54 tahun usia ganjar 55 tahun usia Prabowo 72 tahun  Malah Anies yang paling muda .. asal jawab ngawur","0","0","1","1","in","1464106024454008833","1731943237643120700","MANROCHM","https://twitter.com/MANROCHM/status/1732044237351620922","","","324"
"Tue Dec 05 15:44:13 +0000 2023","1732063333493465469","@strike_bravo_b All in Anies lah  udah gak bener ini. Kita patut curiga tengkarnya PDIP sama Kubu JKW cmn sebatas gengsi Pemilu  soal siasat menguasai Negara sepihak bakal tetep berkoalisi.","0","0","0","11","in","1294143545683501056","1731931000845070380","Drambuana","https://twitter.com/Drambuana/status/1732063333493465469","","","25"
"Tue Dec 05 15:31:13 +0000 2023","1732060062590615788","@BangPino__ Pak Anies ini tipikal dosen. Habis kasih penjelasan  di akhir kembali disimpulkan. Good gesture! 😄","0","0","4","80","in","358086024","1731958733239165290","abirumahtangga","https://twitter.com/abirumahtangga/status/1732060062590615788","","Indonesia","510"
"Tue Dec 05 15:03:04 +0000 2023","1732052979530809500","InsyaAllah 2024 Mas Anies Presiden RI Ke 8","0","1","0","6","in","4921355922","1732052979530809500","YUDHI_Laksana","https://twitter.com/YUDHI_Laksana/status/1732052979530809500","","Java Island Tengah","1668"
"Tue Dec 05 23:14:48 +0000 2023","1732176725528965544","@OposisiCerdas Halahhh dasar nya ga ada Investor mana berani ber investasi yg ga jelas Negara kita pada takut kebetulan Anies bicara ehh dy cari kesempatan dompleng Anies seolah olah pd ga berani lagu lama rekeman baru Lul.","0","0","0","11","in","1603573164738777088","1732119644524380246","otty_yunianto","https://twitter.com/otty_yunianto/status/1732176725528965544","","","183"
"Tue Dec 05 16:59:00 +0000 2023","1732082151976468960","Menuju Pilpres 2024: Meneladani Etika Pengambilan Keputusan Anies Baswedan melalui Kepemimpinan Partisipatif  https://t.co/zUWB3PTJTI","0","0","7","15","in","1443801854756880385","1732082151976468960","kba_news","https://twitter.com/kba_news/status/1732082151976468960","","","9170"
"Tue Dec 05 23:20:16 +0000 2023","1732178100027629798","@KangSemproel Sama kang EMG PD belum dewasa dalam berdemokrasi apa gimana ya apa harus saling  seperti itu ya dalam membela masing masing jagoannya Saya juga dulu dukung Prabowo 2014 dan 2019 sekarang saya Anies Baswedan","0","2","3","13","in","405627559","1732171323378676031","kartonobcf1","https://twitter.com/kartonobcf1/status/1732178100027629798","","Purwokerto ","901"
"Tue Dec 05 13:14:15 +0000 2023","1732025591422136389","@UJunami @AREAJULID Ni anies yg dimaksud tuh yg nyalon itu kan? Dia ada klarif ato tindakan dr partainya yg kmrin demo buat kasus ini kah? Soalnya kasus rohingya ini kan naik lg  otomatis kan penolakan dia kmrin bakal ke up juga&amp;berpengaruh buat pilpres. Ini gw bukan buzzer sp2 ya pure tanya doang😭","0","1","0","8","in","1636942535158534152","1731885302669873390","kerakbumidatar","https://twitter.com/kerakbumidatar/status/1732025591422136389","","","137"
"Tue Dec 05 14:50:31 +0000 2023","1732049820377075877","@Yurissa_Samosir @AdamVelcro @AdeDhani9 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @mustafaagus007 @choymarkochoy @Harywaraz selain pak anies saya nge fans pak lembong  smoga beliau bisa berdedikasi lagi besok","0","1","1","10","in","1573988504526520320","1731982267998978490","ucokcimol","https://twitter.com/ucokcimol/status/1732049820377075877","","EXO Planet 👽👾 + Old Trafford","76"
"Tue Dec 05 23:19:06 +0000 2023","1732177810381496502","@NinaCarla07 @aniesbaswedan Luar biasa memang pak Anies ya.","0","2","4","6","in","1415241204812316680","1732174041312850291","124hmahHastuti1","https://twitter.com/124hmahHastuti1/status/1732177810381496502","","Kaki, Western Bahr el-Ghazal","4548"
"Tue Dec 05 16:27:23 +0000 2023","1732074196719882594","@fz_riady @MIrvanDarwin1 Jelaslah hebat  krn pendukung Anies sama sekali tidak memikirkan gaji atau honor  juga tidak perlu berpura² hanya agar dagangan laku.. 😛😛🤣🤣","0","0","0","1","in","1617221944549703680","1732019237189722114","bani_simabua","https://twitter.com/bani_simabua/status/1732074196719882594","","","2030"
"Tue Dec 05 17:12:31 +0000 2023","1732085556774044168","Pedagang Tissue Sosialisasikan Cara Mencoblos Anies Baswedan.  Pedagang tissue keliling di Palembang yang akrab disapa Andra Tisu mensosialisasikan cara mencoblos pasangan Anies Baswedan-Muhaimin Iskandar. #aminkanindonesia https://t.co/B7mARYQOOY @aniesmania @abwnews_ @bos_sir","0","0","2","6","in","1460142601449840652","1732085556774044168","Simanjunta9Nico","https://twitter.com/Simanjunta9Nico/status/1732085556774044168","","","1038"
"Tue Dec 05 14:02:05 +0000 2023","1732037628776821020","@ParkirMuda @abulmuzaffar10 Gue muslim  semasa Anies hanya bangun 1 masjid  gw gak marah walaupun digoreng2 sama buzer. gue malah senang Umat agama lain dibantu  silahkan browsing berapa gereja yg dikeluarkan IMBnya  padahal ada yg puluhan tahun gak keluar.Sampai umat Hindu Tamil pun menangis terharu. https://t.co/QHnb17tQ5o","0","0","5","18","in","1665964732573192193","1731955631194792291","DedenFitri","https://twitter.com/DedenFitri/status/1732037628776821020","https://pbs.twimg.com/media/GAlvCfKbYAAQ2C2.jpg","Indonesia","35"
"Tue Dec 05 14:20:10 +0000 2023","1732042179441500241","@msaid_didu Anies dan Jonan 2 orang super hebat yang 'dicampakkan' Jokowi karena menolak utk 'yes boss'...","0","1","3","18","in","1429472702172041218","1732040396342276569","iruv_veldy","https://twitter.com/iruv_veldy/status/1732042179441500241","","Jakarta Selatan, DKI Jakarta","218"
"Tue Dec 05 15:49:35 +0000 2023","1732064683279233207","@aniesbaswedan nyebut dirinya: 1. Capres Demokratis 2. bebas berbicara. 3. stakeholder bangsa ini ya kita rakyat Indonesia.  Pengen gw ikut d DESAK ANIES dgn 1 pertanyaan. Klo dia jd Presiden. Bisa gak cabut UU yg melarang FPI dan HTI. Karna itu jg bgian kebebasan yg diagungknnya","0","0","7","9","in","170586459","1732064683279233207","kimjongun070","https://twitter.com/kimjongun070/status/1732064683279233207","","Jakarta","913"
"Tue Dec 05 15:07:43 +0000 2023","1732054149305659545","@BangPino__ Rasanya audiens diajak juga untuk berfikir  berasa dihormati sebagai manusia... Memang ga kaleng2 mas anies.","0","0","2","35","in","2934287456","1731958733239165290","wafaganteng89","https://twitter.com/wafaganteng89/status/1732054149305659545","","","82"
"Tue Dec 05 20:17:20 +0000 2023","1732132066630959217","@savicali Saya bukan kiai atau ahli agama ...tetapi saya tetap pilih Anies","0","0","0","8","in","1566142631478202368","1731920422147707184","Yusrizal1266","https://twitter.com/Yusrizal1266/status/1732132066630959217","","",""
"Tue Dec 05 15:45:00 +0000 2023","1732063528666952082","@avantegold @fachlepi89 @_haye_ klo g ada pilkada orang kaya anies/ hendrar g bisa jadi pemda","0","1","0","23","in","1544348606295310336","1732004379123728517","anj1mee","https://twitter.com/anj1mee/status/1732063528666952082","","","23"
"Tue Dec 05 23:52:43 +0000 2023","1732186270431092979","@zegori_ @BangPino__ Liat aja hasil pemilu PKB sih mas. Pak Prab ajak Mas Gib untuk dapet Jateng. anies ajak cak imin untuk Jatim.","0","1","0","1","in","1219590591815667714","1731928266381066655","RoboticsJg","https://twitter.com/RoboticsJg/status/1732186270431092979","","","6"
"Tue Dec 05 13:21:03 +0000 2023","1732027304602194129","@BosPurwa Hanya kedok untuk mengkritik ulil amri 🤣 (pura-pura nembak Anies padahal yang ditembak Pak Kades) 🤣","0","1","0","41","in","1665583720496267265","1732023569306259943","IrvanNoorHasim","https://twitter.com/IrvanNoorHasim/status/1732027304602194129","","","13"
"Tue Dec 05 14:42:53 +0000 2023","1732047897943040250","@tempodotco Padahal kalo lihat videonya  ini pak Anies sudah "oks bgt* dipancing-pancing MC tetep kekeuh seperti tidak mau dihubung-hubungkan dengan pernyataan yang lagi viral hlo. Tapi namanya berita ya  apalagi cuma tulisan bisa beribu kesannya. 🤦🏾‍♂️","0","0","0","13","in","89424900","1731947766966894759","rezarioo","https://twitter.com/rezarioo/status/1732047897943040250","","Yogyakarta, Indonesia","250"
"Tue Dec 05 17:35:04 +0000 2023","1732091230740414597","@bra_infire @neohistoria_id Buruk buruknya gitu. Nah terus dua lagi ada kemungkinan mengubah ga kalo ini goal jadi UU? Dua lagi kan segolongan yg mengajukan dan setuju sama ini alias 0% kemungkinan. Seenggaknya ada PKS di pihak Anies yg ga setuju. Saking shitty nya  harapan sekecil apapun jadi pegangan","0","0","0","12","in","946263071743385602","1732044381971263875","renita_hartini","https://twitter.com/renita_hartini/status/1732091230740414597","","","58"
"Tue Dec 05 16:53:07 +0000 2023","1732080673387839814","@Catatan_ali7 @aniesbaswedan 👍👍 Top Markotop ... Itulah yang saya suka dengan Pendukung Anies ... Bukan Pendukung Fanatik. Benar Ya Benar....salah Ya Salah. Tidak Abu Abu👍","0","1","0","11","in","1136635147","1732073753117606182","RK_kopihitam","https://twitter.com/RK_kopihitam/status/1732080673387839814","","","255"
"Tue Dec 05 21:59:31 +0000 2023","1732157780143026402","@mamamamabiasa @aniesbaswedan Ahok tukang gusur  kejam sama warga. Termasuk sekitaran kali dia Babat abis sampai gundul yg ada tanah longsor Krn tanaman ga da yg nahan. Era Anies yg digusur dibuatin rusun. Era Heru kunci rusun ditahan awokwowkwok","0","0","0","2","in","1165191590689665024","1731856153322156112","Mobit09","https://twitter.com/Mobit09/status/1732157780143026402","","","85"
"Tue Dec 05 23:47:58 +0000 2023","1732185073708101814","@Radjahoki_pro Si @Pasha_Ungu  terjerat oleh partai tmp dia nyaleg. Selain pernah di Bantu Pemprov DKI yg dipimpin Anies  @Pasha_Ungu juga kader PP 😆😆","0","0","0","1","in","1640659056074563585","1731862782738579898","ayahiyan63","https://twitter.com/ayahiyan63/status/1732185073708101814","","Lampung, Indonesia","422"
"Tue Dec 05 17:22:28 +0000 2023","1732088057292259825","@jansen_jsp Maaf ya mas @jansen_jsp  Ga tahu kenapa. Sejak demokrat sakit hati ceritanya tempo lalu sama anies.. kok sekarang malah keliatan ga objektif keseret seret sama harga dirinya sendiri.. dlu bilangnya perubahaaan. Eeeh manaaah tuuh? Malah dukung politik dinasti.. hadeeeuh.. 🤔🤔","0","0","0","5","in","1037681718","1731983962162217340","UkhLaily","https://twitter.com/UkhLaily/status/1732088057292259825","","Kranji City","127"
"Tue Dec 05 15:39:48 +0000 2023","1732062221927317772","@rayestu kalo gua liat ig jonan  dia ngelike komen orang yang isi komenya tentang anies ngajak jonan  cek aja di ig jonan yg naik suite class","0","2","0","19","in","1590133242","1731997241273930074","garleana123","https://twitter.com/garleana123/status/1732062221927317772","","","13"
"Tue Dec 05 16:15:00 +0000 2023","1732071079705968731","Mantapkan Pemenangan Anies Baswedan-Muhaimin Iskandar  Timnas Lampung Adakan Rapat Koordinasi  https://t.co/b3t4Q1EYfQ","0","0","7","11","in","1443801854756880385","1732071079705968731","kba_news","https://twitter.com/kba_news/status/1732071079705968731","","","9170"
"Tue Dec 05 14:51:36 +0000 2023","1732050093870915975","Anies Mau Bangun Stadion Internasional di Makassar dan Banjarmasin https://t.co/ZIvH0biW4d","0","2","0","16","in","17128975","1732050093870915975","CNNIndonesia","https://twitter.com/CNNIndonesia/status/1732050093870915975","","","4044721"
"Tue Dec 05 15:25:48 +0000 2023","1732058699089522914","@rayestu Gw liat artikelnya emang anies ngomongnya bakal melibatkan pak jonan  masalahnya kalo melibatkan doang masih terlalu luas dan kurang jelas. Kalo menteri nah baru mantap kalo melibatkan doang ga jelas","0","0","0","1","in","978863341987868674","1731997241273930074","_CuriousMonke_","https://twitter.com/_CuriousMonke_/status/1732058699089522914","","","77"
"Tue Dec 05 23:24:11 +0000 2023","1732179087215780319","@BosPurwa Pak Anies ini salah satu smooth-talker terbaik yg pernah saya lihat. Bakal seru klo misalnya ada acara dialog Anies Baswedan vs Barack Obama. Make it happen please","0","0","0","17","in","138005733","1732034204651966804","tunjungutomo","https://twitter.com/tunjungutomo/status/1732179087215780319","","Kota Surabaya, Jawa Timur","675"
"Tue Dec 05 17:35:39 +0000 2023","1732091377880596702","Akibatnya stunting akan terus tumbuh. Demikian pula menurunnya tingkatan IQ bangsa karena makan siang tidak jadi… maka Anies bukan melawan per undang-undangan. Hanya punya pandangan imbang dan rasional dalam melihat arah pembangunan. Belum lagi berbicara tentang utang negara!","0","0","0","3","in","380347823","1732079671561375877","ShamsiAli2","https://twitter.com/ShamsiAli2/status/1732091377880596702","","New York, USA","80583"
"Tue Dec 05 15:58:15 +0000 2023","1732066865407778849","@MIrvanDarwin1 @prabowo @andre_rosiade 🇮🇩👩‍👩‍👧‍👦Mari Kita Lihat Dihari H-nya: Smoga Para Pendukung No: 2 &amp; 3 !! Dibukakn Alam Pikiran &amp; Hati -nya  Untuk Melihat Rekam Jejak Digital 02 &amp; 03: Mka Brubah 2024 H Anies dan H Muhaimin 2024 s-d 2029: Lihat Aja Nanti Asal KPU POLRI TNI Bawaslu &amp; Jokowi Netral","0","0","0","10","in","1362643561716482048","1732000352906662018","AhmadYa05803019","https://twitter.com/AhmadYa05803019/status/1732066865407778849","","","873"
