"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 12 23:19:54 +0000 2023","1734714724854710722","@Sang_Tadulako @jansen_jsp Bran @gibran_tweet urakan dan kampungan","0","0","0","5","in","392570425","1734620018355376627","zainul_choiri","https://twitter.com/zainul_choiri/status/1734714724854710722","","Malang","35"
"Tue Dec 12 23:11:20 +0000 2023","1734712568898613463","Ganjalan terbesar saya dalam memilih pasangan calon presiden dan wakil presiden 2024:  1. Anies - Muhaimin: PKS dan pendukungnya yang konservatif dan diskriminatif 2. Prabowo - Gibran: Politik dinasti dan pelanggaran HAM 3. Ganjar - Mahfud: PDIP dan pelanggaran HAM di Wadas","0","0","0","2","in","1378683533665861634","1734712568898613463","RPrasastaLegawa","https://twitter.com/RPrasastaLegawa/status/1734712568898613463","","Rangkasbitung, Indonesia","28"
"Tue Dec 12 22:51:16 +0000 2023","1734707517425438871","@sasbudiarjo @anismatta @gibran_tweet Dari sisi inilah saya bisa paham bahayanya mazhab haraki krn menghalalkan segala cara. Smoga Pa Anis Matta bs segera bertaubat.","0","0","0","5","in","1136821177291116544","1734570386602459218","AbdulRommel","https://twitter.com/AbdulRommel/status/1734707517425438871","","","64"
"Tue Dec 12 23:38:50 +0000 2023","1734719487608607048","@yaniarsim @gibran_tweet dia pikir debat ketua OSIS 😂","0","0","0","3","in","1603634161658757120","1734703966598893620","Udinsam_dua","https://twitter.com/Udinsam_dua/status/1734719487608607048","","","1313"
"Tue Dec 12 23:28:12 +0000 2023","1734716815539110116","Ketakutan terbesar sekarang adalah menyaksikan semua proses  kontestasi politik ini berjalan dan melihat Prabowo-Gibran menang jadi presiden. Baru ini pertama kalinya ada keinginan besar untuk ikut nyoblos semata2 untuk menghalangi Prabowo terpilih jadi presiden.","0","3","0","2","in","1152602222804361217","1734716815539110116","randahasnann","https://twitter.com/randahasnann/status/1734716815539110116","","","30"
"Tue Dec 12 23:04:17 +0000 2023","1734710793663627509","Momen Gibran Semangati Prabowo usai Jawab Pertanyaan soal Putusan MK https://t.co/KDTwLqpfUm","0","2","1","3","in","17128975","1734710793663627509","CNNIndonesia","https://twitter.com/CNNIndonesia/status/1734710793663627509","","","4044984"
"Tue Dec 12 22:52:20 +0000 2023","1734707786968187279","@Muhammad_Saewad Wahh mas gibran udh semangat banget  adain debat cawapres klo udh semangat kek gini...","0","0","0","2","in","1476714710510694401","1734605638414790846","alifyan_irz","https://twitter.com/alifyan_irz/status/1734707786968187279","","","5"
"Tue Dec 12 23:04:33 +0000 2023","1734710861388763430","Khofifah soal Sinyal Dukung Prabowo-Gibran: Resminya Januari 2024 https://t.co/PkIEznNQSN","0","4","0","3","in","17128975","1734710861388763430","CNNIndonesia","https://twitter.com/CNNIndonesia/status/1734710861388763430","","","4044984"
"Tue Dec 12 22:10:22 +0000 2023","1734697226281336958","Gibran gak ada kerjaan ... sampai di tegur di belakangnya ... ps emosi ... debat  ke dua sy takut struk kalau masalah ekononi singkongnya di bahas","0","0","0","1","in","1363646594369785859","1734697226281336958","EdWitjs","https://twitter.com/EdWitjs/status/1734697226281336958","","+620370","1393"
"Tue Dec 12 23:56:13 +0000 2023","1734723863005876683","@yaniarsim @gibran_tweet Jadi memang bener ya  sikapnya paling byk melanggar etika😁 ?","0","0","0","8","in","1505779416936300544","1734703966598893620","be_simple_one","https://twitter.com/be_simple_one/status/1734723863005876683","","","1337"
